,endTime,artistName,trackName,msPlayed
126,2020-07-31 20:26,Justin Bieber,The Feeling,244906
127,2020-07-31 20:26,Halsey,Trouble - Stripped,28801
128,2020-07-31 20:31,Pritam,"Shayad (From ""Love Aaj Kal"")",247941
129,2020-07-31 20:31,Jasleen Royal,Kho Gaye Hum Kahan,4757
130,2020-07-31 20:35,Arijit Singh,"Raabta (From ""Agent Vinod"")",243578
131,2020-07-31 20:39,Vishal Mishra,Sajna Ve,197857
132,2020-07-31 20:39,Arko,Meherbani,1208
133,2020-07-31 20:39,A.R. Rahman,Main Tumhara,22572
134,2020-07-31 20:39,Ritviz,Jeet,16113
135,2020-07-31 20:45,Dabin,Alive,365419
136,2020-07-31 20:48,Kayden,not my type,164818
137,2020-07-31 20:49,will hyde,meant to be.,29337
138,2020-07-31 20:53,Quinn XCII,Am I High Rn (feat. blackbear),199880
139,2020-07-31 20:55,Clara Mae,Overused (feat. gnash),161195
140,2020-07-31 20:58,Loote,85%,174106
141,2020-07-31 21:01,Lennon Stella,Summer Feelings (feat. Charlie Puth) - Acoustic,158644
142,2020-07-31 21:04,Christian French,i think too much,202779
143,2020-07-31 21:05,SHY Martin,Nobody Likes Moving On,38606
144,2020-07-31 21:08,John K,if we never met - remix,186594
145,2020-07-31 21:11,JP Saxe,"Hey Stupid, I Love You",181000
146,2020-07-31 21:15,FLETCHER,Bitter,194749
147,2020-07-31 21:17,AJ Mitchell,Burn,139959
148,2020-07-31 21:20,Jack & Jack,No One Compares To You,182920
149,2020-07-31 21:26,Chelsea Cutler,Crazier Things,304560
150,2020-07-31 21:29,Bazzi,I Don't Think I'm Okay,176250
151,2020-07-31 21:32,Quinn XCII,Coffee (feat. Marc E. Bassy),180053
152,2020-07-31 21:35,Boy In Space,Caroline,158571
153,2020-07-31 21:38,Anthony Russo,Nobody To Love,213193
154,2020-07-31 21:41,Mokita,London,160225
155,2020-07-31 21:44,Bazzi,Young & Alive,160465
156,2020-07-31 21:45,ayokay,Sleepless Nights (feat. Nightly),40323
157,2020-08-01 18:49,Jorja Smith,By Any Means,248074
158,2020-08-01 18:50,Summer Walker,Girls Need Love,17134
159,2020-08-01 18:54,Jessy,Dancing in the dark,11370
160,2020-08-01 18:54,DJ Neil,I Was Wrong To Let You Go - remix,264425
161,2020-08-01 18:55,RUNN,Handle With Care,17191
162,2020-08-01 19:09,Pritam,"Shayad (From ""Love Aaj Kal"")",247941
163,2020-08-01 19:10,Osza,Limbo,20739
164,2020-08-01 19:10,Ayushmann Khurrana,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")",40970
165,2020-08-01 19:10,Bazzi,I Don't Think I'm Okay,2112
166,2020-08-01 19:19,Jorja Smith,By Any Means,225631
167,2020-08-01 19:23,Jorja Smith,By Any Means,225631
168,2020-08-01 19:27,Jorja Smith,By Any Means,225631
169,2020-08-01 19:31,Jorja Smith,By Any Means,225631
170,2020-08-01 19:34,Jorja Smith,By Any Means,225631
171,2020-08-01 19:38,Jorja Smith,By Any Means,225631
172,2020-08-01 19:42,Jorja Smith,By Any Means,225631
173,2020-08-01 19:46,Jorja Smith,By Any Means,225631
174,2020-08-01 19:48,Jorja Smith,By Any Means,154862
175,2020-08-01 19:50,Carly and Martina,Your Song,6912
176,2020-08-01 19:50,One Direction,What Makes You Beautiful,107019
177,2020-08-01 19:51,Elton John,Your Song,47035
178,2020-08-01 19:55,Taylor Swift,Gorgeous,209680
179,2020-08-01 19:59,Daya,New,230879
180,2020-08-01 20:01,Hailee Steinfeld,Rock Bottom,59513
181,2020-08-01 20:05,Arijit Singh,Tujhe Kitna Chahne Lage,17145
182,2020-08-01 20:05,Vishal Mishra,Kaise Hua,234722
183,2020-08-01 20:05,Vishal Mishra,Kaise Hua,3605
184,2020-08-01 20:11,Sachet Tandon,Bekhayali,371790
185,2020-08-01 20:16,Vishal Mishra,Kaise Hua,234722
186,2020-08-01 20:19,Arijit Singh,Tujhe Kitna Chahne Lage,184045
187,2020-08-01 20:22,A.R. Rahman,"Enna Sona (From ""OK Jaanu"")",213632
188,2020-08-01 20:27,Darshan Raval,Baarish Lete Aana,213500
189,2020-08-01 20:31,Ammy Virk,Main Suneya,248590
190,2020-08-01 20:35,Bilal Saeed,Baari,235297
191,2020-08-01 20:39,Vishal Mishra,"Nai Lagda (From ""Notebook"")",287106
192,2020-08-01 20:45,Arijit Singh,"Itni Si Baat Hain (From ""Azhar"")",294846
193,2020-08-01 20:50,Neeti Mohan,Kahin Toh Hogi Woh-Teri Aahatein,317222
194,2020-08-01 20:54,Jasleen Royal,Kho Gaye Hum Kahan,213055
195,2020-08-01 21:00,Mithoon,"Darkhaast (feat. Arijit Singh, Sunidhi Chauhan)",374205
196,2020-08-01 21:03,Akhil,Kalla Sohna Nai,156613
197,2020-08-01 21:07,Pritam,Khairiyat,280281
198,2020-08-01 21:12,Atif Aslam,Baarishein,250922
199,2020-08-01 21:15,Pritam,Channa Mereya - Unplugged,165333
200,2020-08-01 21:20,Mohit Chauhan,Tujhe Bhula Diya,279429
